coll_nom;nom_projet;coll_siret;coll_type;projet_date;projet_status;partenaires;projet_contact;financement;Budget;usage_description;mise_en_oeuvre;theme;sous_theme;audience_service;herbergement;nom_algorithme;algorithme_description;algorithme_operations;type_algorithme;impact_environnement;donnees_source;donnees_acces;url_infos;url_ressources;image_url;date
Collectivité xyz;SmartWaste;21750000000000;Commune;1/1/2023;En déploiement;financeur 1-intégrateur SmartWaste;dechets@coll-cyz.fr;DIAT;plus de 100k€;Optimisation des routes de collecte des déchets en fonction du remplissage des bacs.;Mobilisation de prestataire(s);Transition écologique;Déchets et économie circulaire;Agent;Cloud chez un tiers;OptimisationRoute;;;Machine Learning;;Capteurs IoT;Par API;https://www.interconnectes.com/;https://www.interconnectes.com/;https://www.interconnectes.com/wp-content/uploads/2023/09/logo-site.jpg;12/12/2024
Collectivité xyz;AirQualityWatch;21750000100000;Région;3/1/2022;En déploiement;AASQA1-intégrateur airdevice;airqualitywatch@region-xyz.fr;labo2;entre 50k€ et 100k€;Surveillance en temps réel de la qualité de l'air et alerte aux citoyens.;Projet développé en externe;Citoyenneté, Santé et solidarité;Santé et accès aux soins-Plateforme de données;Grand public;En interne de l'administration;AirQualityPredict;;;Réseaux de neurones;;Capteurs de qualité de l'air;Par API;;;;12/12/2024
Collectivité xyz;SmartTraffic;21690000000000;Commune;6/1/2021;En déploiement;intégrateur2-startup1;trafficAI@coll-xyz.fr;Fond Vert;entre 50k€ et 100k€;Optimisation des feux de signalisation pour réduire les embouteillages.;Projet développé en interne;Mobilité;Flux et trafic;Grand public;Cloud chez un tiers;TrafficOptimizer;;;Machine Learning;;Données de trafic en temps réel;Par API;;;;12/12/2024
Collectivité xyz;ParkSmart;21330000000000;Commune;9/1/2022;En expérimentation;cartomap-financeur2;mobilite@coll-xyz.fr;;;Optimisation de l'occupation des places de parking et guidance des usagers.;Mobilisation de prestataire(s);Mobilité;Stationnement;Grand public;Cloud chez un tiers;ParkingOptimizer;;;Computer vision;;Caméras de surveillance;Par API;;;;12/12/2024
Collectivité xyz;FireWatch;21130000000000;Département;7/1/2021;En déploiement;SDIS-cartomappeur;securite.espace@coll-xyz.fr;DIAT;plus de 100k€;Détection précoce des incendies de forêts.;Projet développé en externe;Transition écologique;Prévention et gestion des risques;Agent;En interne de l'administration;FireDetector;;;Computer vision;;Images satellites;Par API;;;;12/12/2024
Collectivité xyz;SocialHousing;21130000100000;Commune;2/1/2022;En expérimentation;Statist-labo1;service.logement@coll-xyz.fr;;;Optimisation de l'attribution des logements sociaux.;Projet développé en interne;Citoyenneté, Santé et solidarité;Immobilier;Bénéficiaire;Cloud chez un tiers;HousingAllocator;;;Machine Learning;;Données des demandeurs;Par récupération manuelle;;;;12/12/2024
Collectivité xyz;InfraWatch;21840000000000;Région;4/1/2021;En déploiement;InfrAI-cartomapping;securite@region-xyz.fr;Fond Vert;plus de 100k€;Surveillance des ponts et des routes pour détecter les anomalies.;Mobilisation de prestataire(s);Transition écologique;Prévention et gestion des risques;Agent;En interne de l'administration;InfraMonitor;;;Computer vision;;Capteurs et drones;Par API;;;;12/12/2024
Collectivité xyz;SchoolManager;21310000000000;Commune;8/1/2022;En expérimentation;intégrateur3-Etat;dsi.scolarite@coll-xyz.fr;;;Optimisation de la gestion des inscriptions et des effectifs scolaires.;Projet développé en interne;Citoyenneté, Santé et solidarité;Education;établissement scolaire;Cloud chez un tiers;SchoolOptimizer;;;Machine Learning;;Données des inscriptions;Par récupération manuelle;;;;12/12/2024
Collectivité xyz;GreenSpaces;21440000000000;Commune;5/1/2021;En déploiement;SmartspaceAI-financeur3;service.espaces@coll-xyz.fr;DIAT;entre 50k€ et 100k€;Optimisation de l'entretien des espaces verts.;Mobilisation de prestataire(s);Transition écologique;Biodiversité et préservation des espaces naturels;Agent;Cloud chez un tiers;GreenOptimizer;;;Machine Learning;;Données des capteurs de sol;Par API;;;;12/12/2024
Collectivité xyz;MedEmergency;21330000100000;Département;11/1/2022;En déploiement;AssistAI-financeur2;g.assistAI@departement-xyz.fr;France 2030;moins de 50k€;Optimisation de la répartition des ambulances et des équipes médicales.;Projet développé en externe;Citoyenneté, Santé et solidarité;Santé et accès aux soins;établissement santé;En interne de l'administration;EmergencyOptimizer;;;Machine Learning;;Données des appels d'urgence;Par API;;;;12/12/2024
